Date ,Stock,Open,High,Low,Last,Volume,
05-08-2020,PHA ,0.2330 ,0.2330 ,0.22 ,0.22 ,9.45M ,
05-08-2020,PHES ,0.30 ,0.30 ,0.30 ,0.30 ,230K ,
05-08-2020,PHN ,8.48 ,8.48 ,8.48 ,8.48 ,100 ,
05-08-2020,PHR ,2.98 ,2.98 ,2.81 ,2.90 ,55K ,
05-08-2020,PIP ,1.90 ,1.91 ,1.90 ,1.91 ,930K ,
05-08-2020,PIZZA ,6.50 ,6.50 ,6.38 ,6.47 ,751.4K ,
05-08-2020,PLC ,0.3150 ,0.3150 ,0.3050 ,0.31 ,630K ,
05-08-2020,PMPC ,4.02 ,4.02 ,4.02 ,4.02 ,1K ,
05-08-2020,PNB ,23.15 ,23.15 ,22.75 ,22.85 ,83.5K ,
05-08-2020,PNX ,10.80 ,11.36 ,10.54 ,11.36 ,470.7K ,
05-08-2020,PNX4 ,997.00 ,1,000.00 ,997.00 ,1,000.00 ,1.96K ,
05-08-2020,PRF2B ,1,029.00 ,1,029.00 ,1,029.00 ,1,029.00 ,5 ,
05-08-2020,PRF3A ,1,016.00 ,1,016.00 ,1,016.00 ,1,016.00 ,50 ,
05-08-2020,PRIM ,0.83 ,0.83 ,0.81 ,0.83 ,146K ,
05-08-2020,PRMX ,1.48 ,1.49 ,1.48 ,1.49 ,9K ,
05-08-2020,PSB ,42.70 ,43.50 ,42.70 ,42.70 ,2.9K ,
05-08-2020,PSE ,168.90 ,168.90 ,168.80 ,168.80 ,510 ,
05-08-2020,PX ,2.29 ,2.34 ,2.29 ,2.34 ,14K ,
05-08-2020,PXP ,4.22 ,4.30 ,4.16 ,4.20 ,730K ,
05-08-2020,RCB ,16.60 ,16.98 ,16.60 ,16.98 ,55.3K ,
05-08-2020,RCI ,1.66 ,1.69 ,1.61 ,1.69 ,8.7M ,
05-08-2020,RLC ,15.04 ,15.38 ,14.90 ,14.90 ,1.99M ,
05-08-2020,RRHI ,67.00 ,67.00 ,66.45 ,66.45 ,174.62K ,
05-08-2020,SBS ,5.90 ,5.98 ,5.90 ,5.98 ,4.5K ,
05-08-2020,SCC ,11.98 ,11.98 ,11.58 ,11.80 ,783.7K ,
05-08-2020,SECB ,101.70 ,102.90 ,100.50 ,100.60 ,316.45K ,
05-08-2020,SEVN ,129.80 ,129.80 ,126.00 ,126.00 ,240 ,
05-08-2020,SFI ,0.1160 ,0.1160 ,0.1110 ,0.1110 ,1.29M ,
05-08-2020,SGI ,0.98 ,0.99 ,0.98 ,0.99 ,10K ,
05-08-2020,SGP ,161.00 ,162.00 ,161.00 ,162.00 ,90 ,
05-08-2020,SHLPH ,18.66 ,18.82 ,18.66 ,18.72 ,431K ,
